rank,word_fr,word_es
252,"Avoir enlevé (passé composé)","(Haber quitado) he quitado, has quitado, ha quitado, hemos quitado, habéis quitado, han quitado"
253,"Avoir trouvé (passé composé)","(Haber encontrado) he encontrado, has encontrado, ha encontrado, hemos encontrado, habéis encontrado, han encontrado"
254,"Je perdrai du poids","(Perder) perderé peso"
255,"Tu chercheras un emploi","(Buscar) buscarás un empleo"
256,"Il demandera une augmentation","(Pedir) pedirá un aumento"
257,"Poids","Peso"
258,"Emploi","Empleo"
259,"Augmentation","Aumento"
260,"Perdre (futur)","(Perder) perderé, perderás, perderá, perderemos, perderéis, perderán"
261,"Chercher (futur)","(Buscar) buscaré, buscarás, buscará, buscaremos, buscaréis, buscarán"
262,"Demander (futur)","(Pedir) pediré, pedirás, pedirá, pediremos, pediréis, pedirán"
263,"Nous avons perdu nos clés","Hemos perdido nuestras llaves"
264,"Vous avez cherché partout","Habéis buscado por todas partes"
265,"Ils ont demandé des informations","Han pedido información"
266,"Clés","Llaves"
267,"Partout","Por todas partes"
268,"Information","Información"
269,"Avoir perdu (passé composé)","(Haber perdido) he perdido, has perdido, ha perdido, hemos perdido, habéis perdido, han perdido"
270,"Avoir cherché (passé composé)","(Haber buscado) he buscado, has buscado, ha buscado, hemos buscado, habéis buscado, han buscado"
271,"Avoir demandé (passé composé)","(Haber pedido) he pedido, has pedido, ha pedido, hemos pedido, habéis pedido, han pedido"
272,"Je répondrai à l\'email","(Responder) responderé al correo electrónico"
273,"Tu aimeras ce film","(Gustar) te gustará esta película"
274,"Elle détestera les épinards","(Odiar) odiará las espinacas"
275,"Email","Correo electrónico"
276,"Film","Película"
277,"Épinards","Espinacas"
278,"Répondre (futur)","(Responder) responderé, responderás, responderá, responderemos, responderéis, responderán"
279,"Aimer (futur)","(Amar) amaré, amarás, amará, amaremos, amaréis, amarán"
280,"Détester (futur)","(Odiar) odiaré, odiarás, odiará, odiaremos, odiaréis, odiarán"
281,"Nous avons répondu à toutes les questions","Hemos respondido a todas las preguntas"
282,"Vous avez aimé le concert","Os ha gustado el concierto"
283,"Ils ont détesté le repas","Han odiado la comida"
284,"Question","Pregunta"
285,"Concert","Concierto"
286,"Repas","Comida"
287,"Avoir répondu (passé composé)","(Haber respondido) he respondido, has respondido, ha respondido, hemos respondido, habéis respondido, han respondido"
288,"Avoir aimé (passé composé)","(Haber amado) he amado, has amado, ha amado, hemos amado, habéis amado, han amado"
289,"Avoir détesté (passé composé)","(Haber odiado) he odiado, has odiado, ha odiado, hemos odiado, habéis odiado, han odiado"
290,"J\'habiterai à Paris","(Vivir) viviré en París"
291,"Tu travailleras dans un bureau","(Trabajar) trabajarás en una oficina"
292,"Il étudiera la médecine","(Estudiar) estudiará medicina"
293,"Paris","París"
294,"Bureau","Oficina"
295,"Médecine","Medicina"
296,"Habiter (futur)","(Vivir) viviré, vivirás, vivirá, viviremos, viviréis, vivirán"
297,"Travailler (futur)","(Trabajar) trabajaré, trabajarás, trabajará, trabajaremos, trabajaréis, trabajarán"
298,"Étudier (futur)","(Estudiar) estudiaré, estudiarás, estudiará, estudiaremos, estudiaréis, estudiarán"
299,"Nous avons habité à la campagne","Hemos vivido en el campo"
300,"Vous avez travaillé dur","Habéis trabajado duro"
301,"Ils ont étudié toute la nuit","Han estudiado toda la noche"
302,"Campagne","Campo"
303,"Dur","Duro"
304,"Nuit","Noche"
305,"Avoir habité (passé composé)","(Haber vivido) he vivido, has vivido, ha vivido, hemos vivido, habéis vivido, han vivido"
306,"Avoir travaillé (passé composé)","(Haber trabajado) he trabajado, has trabajado, ha trabajado, hemos trabajado, habéis trabajado, han trabajado"
307,"Avoir étudié (passé composé)","(Haber estudiado) he estudiado, has estudiado, ha estudiado, hemos estudiado, habéis estudiado, han estudiado"
308,"Je voyagerai autour du monde","(Viajar) viajaré alrededor del mundo"
309,"Tu apprendras une nouvelle langue","(Aprender) aprenderás un nuevo idioma"
310,"Elle enseignera l\'anglais","(Enseñar) enseñará inglés"
311,"Monde","Mundo"
312,"Langue","Idioma"
313,"Anglais","Inglés"
314,"Voyager (futur)","(Viajar) viajaré, viajarás, viajará, viajaremos, viajaréis, viajarán"
315,"Apprendre (futur)","(Aprender) aprenderé, aprenderás, aprenderá, aprenderemos, aprenderéis, aprenderán"
316,"Enseigner (futur)","(Enseñar) enseñaré, enseñarás, enseñará, enseñaremos, enseñaréis, enseñarán"
317,"Nous avons voyagé en Europe","Hemos viajado por Europa"
318,"Vous avez appris à cuisiner","Habéis aprendido a cocinar"
319,"Ils ont enseigné la danse","Han enseñado baile"
320,"Europe","Europa"
321,"Cuisiner","Cocinar"
322,"Danse","Baile"
323,"Avoir voyagé (passé composé)","(Haber viajado) he viajado, has viajado, ha viajado, hemos viajado, habéis viajado, han viajado"
324,"Avoir appris (passé composé)","(Haber aprendido) he aprendido, has aprendido, ha aprendido, hemos aprendido, habéis aprendido, han aprendido"
325,"Avoir enseigné (passé composé)","(Haber enseñado) he enseñado, has enseñado, ha enseñado, hemos enseñado, habéis enseñado, han enseñado"
326,"Je chanterai à la fête","(Cantar) cantaré en la fiesta"
327,"Tu danseras toute la nuit","(Bailar) bailarás toda la noche"
328,"Il jouera de la guitare","(Tocar) tocará la guitarra"
329,"Fête","Fiesta"
330,"Nuit","Noche"
331,"Guitare","Guitarra"
332,"Chanter (futur)","(Cantar) cantaré, cantarás, cantará, cantaremos, cantaréis, cantarán"
333,"Danser (futur)","(Bailar) bailaré, bailarás, bailará, bailaremos, bailaréis, bailarán"
334,"Jouer (futur)","(Jugar) jugaré, jugarás, jugará, jugaremos, jugaréis, jugarán"
335,"Nous avons chanté au karaoké","Hemos cantado en el karaoke"
336,"Vous avez dansé jusqu\'à l\'aube","Habéis bailado hasta el amanecer"
337,"Ils ont joué au football","Han jugado al fútbol"
338,"Karaoké","Karaoke"
339,"Aube","Amanecer"
340,"Football","Fútbol"
341,"Avoir chanté (passé composé)","(Haber cantado) he cantado, has cantado, ha cantado, hemos cantado, habéis cantado, han cantado"
342,"Avoir dansé (passé composé)","(Haber bailado) he bailado, has bailado, ha bailado, hemos bailado, habéis bailado, han bailado"
343,"Avoir joué (passé composé)","(Haber jugado) he jugado, has jugado, ha jugado, hemos jugado, habéis jugado, han jugado"
344,"Je cuisinerai un gâteau","(Cocinar) cocinaré un pastel"
345,"Tu peindras un tableau","(Pintar) pintarás un cuadro"
346,"Elle écrira un roman","(Escribir) escribirá una novela"
347,"Gâteau","Pastel"
348,"Tableau","Cuadro"
349,"Roman","Novela"
350,"Cuisiner (futur)","(Cocinar) cocinaré, cocinarás, cocinará, cocinaremos, cocinaréis, cocinarán"
351,"Peindre (futur)","(Pintar) pintaré, pintarás, pintará, pintaremos, pintaréis, pintarán"
352,"Écrire (futur)","(Escribir) escribiré, escribirás, escribirá, escribiremos, escribiréis, escribirán"
353,"Nous avons cuisiné un festin","Hemos cocinado un festín"
354,"Vous avez peint la maison","Habéis pintado la casa"
355,"Ils ont écrit une lettre","Han escrito una carta"
356,"Festin","Festín"
357,"Maison","Casa"
358,"Lettre","Carta"
359,"Avoir cuisiné (passé composé)","(Haber cocinado) he cocinado, has cocinado, ha cocinado, hemos cocinado, habéis cocinado, han cocinado"
360,"Avoir peint (passé composé)","(Haber pintado) he pintado, has pintado, ha pintado, hemos pintado, habéis pintado, han pintado"
361,"Avoir écrit (passé composé)","(Haber escrito) he escrito, has escrito, ha escrito, hemos escrito, habéis escrito, han escrito"
362,"Je construirai une maison","(Construir) construiré una casa"
363,"Tu répareras la voiture","(Reparar) repararás el coche"
364,"Il nettoiera la chambre","(Limpiar) limpiará la habitación"
365,"Maison","Casa"
366,"Voiture","Coche"
367,"Chambre","Habitación"
368,"Construire (futur)","(Construir) construiré, construirás, construirá, construiremos, construiréis, construirán"
369,"Réparer (futur)","(Reparar) repararé, repararás, reparará, repararemos, repararéis, repararán"
370,"Nettoyer (futur)","(Limpiar) limpiaré, limpiarás, limpiará, limpiaremos, limpiaréis, limpiarán"
371,"Nous avons construit un pont","Hemos construido un puente"
372,"Vous avez réparé l\'ordinateur","Habéis reparado el ordenador"
373,"Ils ont nettoyé la cuisine","Han limpiado la cocina"
374,"Pont","Puente"
375,"Ordinateur","Ordenador"
376,"Cuisine","Cocina"
377,"Avoir construit (passé composé)","(Construir) He construido, has construido, ha construido, hemos construido, habéis construido, han construido"
378,"Avoir réparé (passé composé)","(Reparar) He reparado, has reparado, ha reparado, hemos reparado, habéis reparado, han reparado"
379,"Avoir nettoyé (passé composé)","(Limpiar) He limpiado, has limpiado, ha limpiado, hemos limpiado, habéis limpiado, han limpiado"
380,"Je réfléchirai à ta proposition","(Reflexionar) Reflexionaré sobre tu propuesta"
381,"Tu décideras demain","(Decidir) Decidirás mañana"
382,"Elle choisira sa robe","(Elegir) Elegirá su vestido"
383,"Proposition","Propuesta"
384,"Demain","Mañana"
385,"Robe","Vestido"
386,"Réfléchir (futur)","(Reflexionar) Reflexionaré, reflexionarás, reflexionará, reflexionaremos, reflexionaréis, reflexionarán"
387,"Décider (futur)","(Decidir) Decidiré, decidirás, decidirá, decidiremos, decidiréis, decidirán"
388,"Choisir (futur)","(Elegir) Elegiré, elegirás, elegirá, elegiremos, elegiréis, elegirán"
389,"Nous avons réfléchi longuement","(Reflexionar) Hemos reflexionado largamente"
390,"Vous avez décidé rapidement","(Decidir) Habéis decidido rápidamente"
391,"Ils ont choisi le meilleur","(Elegir) Han elegido el mejor"
392,"Longuement","Largamente"
393,"Rapidement","Rápidamente"
394,"Meilleur","Mejor"
395,"Avoir réfléchi (passé composé)","(Reflexionar) He reflexionado, has reflexionado, ha reflexionado, hemos reflexionado, habéis reflexionado, han reflexionado"
396,"Avoir décidé (passé composé)","(Decidir) He decidido, has decidido, ha decidido, hemos decidido, habéis decidido, han decidido"
397,"Avoir choisi (passé composé)","(Elegir) He elegido, has elegido, ha elegido, hemos elegido, habéis elegido, han elegido"
398,"Je comprendrai mieux demain","(Comprender) Comprenderé mejor mañana"
399,"Tu apprendras vite","(Aprender) Aprenderás rápido"
400,"Il connaîtra la vérité","(Conocer) Conocerá la verdad"
401,"Vite","Rápido"
402,"Vérité","Verdad"
403,"Comprendre (futur)","(Comprender) Comprenderé, comprenderás, comprenderá, comprenderemos, comprenderéis, comprenderán"
404,"Apprendre (futur)","(Aprender) Aprenderé, aprenderás, aprenderá, aprenderemos, aprenderéis, aprenderán"
405,"Connaître (futur)","(Conocer) Conoceré, conocerás, conocerá, conoceremos, conoceréis, conocerán"
406,"Nous avons compris le problème","(Comprender) Hemos comprendido el problema"
407,"Vous avez appris une leçon","(Aprender) Habéis aprendido una lección"
408,"Ils ont connu des moments difficiles","(Conocer) Han conocido momentos difíciles"
409,"Problème","Problema"
410,"Leçon","Lección"
411,"Moments difficiles","Momentos difíciles"
412,"Avoir compris (passé composé)","(Comprender) He comprendido, has comprendido, ha comprendido, hemos comprendido, habéis comprendido, han comprendido"
413,"Avoir appris (passé composé)","(Aprender) He aprendido, has aprendido, ha aprendido, hemos aprendido, habéis aprendido, han aprendido"
414,"Avoir connu (passé composé)","(Conocer) He conocido, has conocido, ha conocido, hemos conocido, habéis conocido, han conocido"
415,"Je pourrais venir demain","(Poder) Podría venir mañana"
416,"Tu devrais étudier plus","(Deber) Deberías estudiar más"
417,"Elle voudrait un café","(Querer) Querría un café"
418,"Pouvoir (conditionnel)","(Poder) Podría, podrías, podría, podríamos, podríais, podrían"
419,"Devoir (conditionnel)","(Deber) Debería, deberías, debería, deberíamos, deberíais, deberían"
420,"Vouloir (conditionnel)","(Querer) Querría, querrías, querría, querríamos, querríais, querrían"
421,"Nous aurions pu gagner","(Poder) Habríamos podido ganar"
422,"Vous auriez dû partir plus tôt","(Deber) Habríais debido partir más temprano"
423,"Ils auraient voulu rester","(Querer) Habrían querido quedarse"
424,"Gagner","Ganar"
425,"Partir plus tôt","Partir más temprano"
426,"Rester","Quedarse"
427,"Avoir pu (conditionnel passé)","(Poder) Habría podido, habrías podido, habría podido, habríamos podido, habríais podido, habrían podido"
428,"Avoir dû (conditionnel passé)","(Deber) Habría debido, habrías debido, habría debido, habríamos debido, habríais debido, habrían debido"
429,"Avoir voulu (conditionnel passé)","(Querer) Habría querido, habrías querido, habría querido, habríamos querido, habríais querido, habrían querido"
430,"Je serais heureux de vous aider","(Estar) Estaría feliz de ayudarle"
431,"Tu irais en vacances si tu pouvais","(Ir) Irías de vacaciones si pudieras"
432,"Il ferait mieux de se dépêcher","(Hacer) Haría mejor en darse prisa"
433,"Heureux","Feliz"
434,"Vacances","Vacaciones"
435,"Se dépêcher","Darse prisa"
436,"Être (conditionnel)","(Estar) Estaría, estarías, estaría, estaríamos, estaríais, estarían"
437,"Aller (conditionnel)","(Ir) Iría, irías, iría, iríamos, iríais, irían"
438,"Faire (conditionnel)","(Hacer) Haría, harías, haría, haríamos, haríais, harían"
439,"Nous aurions été ravis","(Estar) Habríamos estado encantados"
440,"Vous seriez allés à la plage","(Ir) Habríais ido a la playa"
441,"Ils auraient fait un gâteau","(Hacer) Habrían hecho un pastel"
442,"Ravi","Encantado"
443,"Plage","Playa"
444,"Gâteau","Pastel"
445,"Avoir été (conditionnel passé)","(Estar) Habría estado, habrías estado, habría estado, habríamos estado, habríais estado, habrían estado"
446,"Être allé (conditionnel passé)","(Ir) Habría ido, habrías ido, habría ido, habríamos ido, habríais ido, habrían ido"
447,"Avoir fait (conditionnel passé)","(Hacer) Habría hecho, habrías hecho, habría hecho, habríamos hecho, habríais hecho, habrían hecho"
448,"Je prendrais volontiers un thé","(Tomar) Tomaría con gusto un té"
449,"Tu mettrais ce pull ?","(Poner) ¿Te pondrías este jersey?"
450,"Elle dirait la vérité si on lui demandait","(Decir) Diría la verdad si se lo pidieran"
451,"Thé","Té"
452,"Pull","Jersey"
